study,model,n_rows,mae,rmse,r2
Hatem Kh. MOHAMED_2043,LR,1,8.140997937587962,8.140997937587962,
Hatem Kh. MOHAMED_2043,KNN,1,12.0,12.0,
Hatem Kh. MOHAMED_2043,ANN,1,26.470589838455687,26.470589838455687,
Hatem Kh. MOHAMED_2043,Cubist,1,1.8379783630371094,1.8379783630371094,
Hatem Kh. MOHAMED_2043,RF,1,12.628757331564344,12.628757331564344,
Hatem Kh. MOHAMED_2043,XGB,1,18.24593734741211,18.24593734741211,
Hatem Kh. MOHAMED_2043,HistGB,1,4.562945522733294,4.562945522733294,
Hatem Kh. MOHAMED_2044,LR,1,4.138591285414648,4.138591285414648,
Hatem Kh. MOHAMED_2044,KNN,1,13.999999999999993,13.999999999999993,
Hatem Kh. MOHAMED_2044,ANN,1,13.262064581607532,13.262064581607532,
Hatem Kh. MOHAMED_2044,Cubist,1,1.2090950012207031,1.2090950012207031,
Hatem Kh. MOHAMED_2044,RF,1,10.834006897255954,10.834006897255954,
Hatem Kh. MOHAMED_2044,XGB,1,8.734336853027344,8.734336853027344,
Hatem Kh. MOHAMED_2044,HistGB,1,10.083087195959166,10.083087195959166,
Hatem Kh. MOHAMED_2045,LR,1,18.46797692293017,18.46797692293017,
Hatem Kh. MOHAMED_2045,KNN,1,13.999999999999993,13.999999999999993,
Hatem Kh. MOHAMED_2045,ANN,1,0.09098368679975977,0.09098368679975977,
Hatem Kh. MOHAMED_2045,Cubist,1,4.973487854003913,4.973487854003913,
Hatem Kh. MOHAMED_2045,RF,1,2.8183370067417783,2.8183370067417783,
Hatem Kh. MOHAMED_2045,XGB,1,1.9962272644042898,1.9962272644042898,
Hatem Kh. MOHAMED_2045,HistGB,1,0.07098392405683285,0.07098392405683285,
Hatem Kh. MOHAMED_2046,LR,1,24.599141991113456,24.599141991113456,
Hatem Kh. MOHAMED_2046,KNN,1,7.0,7.0,
Hatem Kh. MOHAMED_2046,ANN,1,5.819692961453008,5.819692961453008,
Hatem Kh. MOHAMED_2046,Cubist,1,0.21710205078125,0.21710205078125,
Hatem Kh. MOHAMED_2046,RF,1,6.5033732907270405,6.5033732907270405,
Hatem Kh. MOHAMED_2046,XGB,1,3.8366470336914062,3.8366470336914062,
Hatem Kh. MOHAMED_2046,HistGB,1,2.505345215294909,2.505345215294909,
Hatem Kh. MOHAMED_2047,LR,1,31.755294730410355,31.755294730410355,
Hatem Kh. MOHAMED_2047,KNN,1,2.0,2.0,
Hatem Kh. MOHAMED_2047,ANN,1,13.444047749372523,13.444047749372523,
Hatem Kh. MOHAMED_2047,Cubist,1,5.3961334228515625,5.3961334228515625,
Hatem Kh. MOHAMED_2047,RF,1,10.346320385533623,10.346320385533623,
Hatem Kh. MOHAMED_2047,XGB,1,5.6834869384765625,5.6834869384765625,
Hatem Kh. MOHAMED_2047,HistGB,1,6.956081890894694,6.956081890894694,
Hatem Kh. MOHAMED_2048,LR,1,33.78747674888788,33.78747674888788,
Hatem Kh. MOHAMED_2048,KNN,1,1.0,1.0,
Hatem Kh. MOHAMED_2048,ANN,1,15.130415915882267,15.130415915882267,
Hatem Kh. MOHAMED_2048,Cubist,1,5.9698028564453125,5.9698028564453125,
Hatem Kh. MOHAMED_2048,RF,1,9.92947237425222,9.92947237425222,
Hatem Kh. MOHAMED_2048,XGB,1,1.9846725463867188,1.9846725463867188,
Hatem Kh. MOHAMED_2048,HistGB,1,6.71515973372496,6.71515973372496,
Hatem Kh. MOHAMED_2049,LR,1,34.79491019511746,34.79491019511746,
Hatem Kh. MOHAMED_2049,KNN,1,0.0,0.0,
Hatem Kh. MOHAMED_2049,ANN,1,15.5262568551395,15.5262568551395,
Hatem Kh. MOHAMED_2049,Cubist,1,5.889656066894531,5.889656066894531,
Hatem Kh. MOHAMED_2049,RF,1,5.775668133556977,5.775668133556977,
Hatem Kh. MOHAMED_2049,XGB,1,2.3248138427734375,2.3248138427734375,
Hatem Kh. MOHAMED_2049,HistGB,1,1.5263579145027393,1.5263579145027393,
Hatem Kh. MOHAMED_2050,LR,1,34.7775563163074,34.7775563163074,
Hatem Kh. MOHAMED_2050,KNN,1,0.0,0.0,
